year,P,LP,VUS,LB,B,total_unique_variants
1999,2,0,0,0,0,2
2000,9,0,0,0,0,9
2001,18,0,0,0,0,18
2002,20,0,0,0,0,20
2003,21,0,0,0,0,21
2004,24,0,0,0,0,24
2005,25,0,0,0,0,25
2006,30,0,0,0,0,30
2007,32,0,0,0,0,32
2008,36,0,0,0,0,36
2009,44,0,0,0,4,48
2010,94,0,2,0,4,100
2011,185,1,9,2,5,202
2012,221,3,15,3,6,248
2013,270,4,23,5,21,323
2014,327,11,35,6,33,412
2015,439,17,59,21,73,609
2016,485,40,136,50,106,817
2017,541,70,281,124,142,1158
2018,612,101,765,465,524,2467
2019,669,136,924,678,643,3050
2020,714,156,1150,856,679,3555
2021,792,212,1901,1241,688,4834
2022,977,323,3762,2046,698,7806
2023,1212,449,4461,3302,725,10149
2024,1323,686,5905,4324,755,12993
2025,1449,730,6803,5479,868,15329
2026,1485,718,6839,5600,990,15632
