year,P,LP,VUS,LB,B,total_unique_variants
1994,1,0,0,0,0,1
1995,2,0,0,0,0,2
1996,10,0,0,0,0,10
1997,13,0,0,0,0,13
1998,14,0,0,0,0,14
1999,21,0,0,0,0,21
2000,21,0,0,0,0,21
2001,22,0,0,0,0,22
2002,26,0,0,0,0,26
2003,28,0,0,0,0,28
2004,28,0,0,0,0,28
2005,28,0,0,0,0,28
2006,28,0,0,0,0,28
2007,28,0,0,0,0,28
2008,29,0,0,0,0,29
2009,30,0,0,0,0,30
2010,37,0,0,0,0,37
2011,53,0,4,2,0,59
2012,66,2,7,3,4,82
2013,76,4,17,3,20,120
2014,102,20,31,10,23,186
2015,123,36,47,15,46,267
2016,172,105,149,34,90,550
2017,277,195,405,59,172,1108
2018,448,288,818,202,363,2119
2019,614,358,1075,474,487,3008
2020,819,425,1312,729,504,3789
2021,1044,528,1639,1142,482,4835
2022,1333,743,2200,1697,498,6471
2023,1680,927,2857,2712,521,8697
2024,2151,1390,4704,3168,533,11946
2025,2339,1738,6145,3564,512,14298
2026,2422,1761,6259,3629,552,14623
