VariationID,first_date,first_bucket,latest_date,latest_bucket
4108,2011-03-01,P,2026-04-08,P
4109,2002-03-01,P,2002-03-01,P
4112,2002-03-01,P,2025-09-16,P
4113,2002-03-01,P,2025-12-15,P
4114,2003-01-01,P,2025-12-16,P
4115,2003-01-01,P,2024-11-29,P
8195,1994-06-17,P,1994-06-17,P
8196,1995-08-01,P,2025-10-12,P
8199,1996-01-01,P,2024-12-26,P
8200,1996-10-01,P,1996-10-01,P
8201,1996-04-01,P,2026-01-26,P
8202,1997-11-01,P,2022-10-13,P
8203,1999-07-01,P,2026-01-26,P
8207,1999-07-01,P,2024-03-04,P
8210,2001-09-01,P,2001-09-01,P
13517,1996-05-31,P,2021-07-29,P
13518,1996-05-31,P,2026-02-03,P
13519,1996-05-31,P,2025-06-16,P
13520,1997-06-01,P,1997-06-01,P
13521,1997-12-01,P,2026-03-03,P
13522,1998-05-01,P,2025-08-30,P
13524,1999-11-01,P,1999-11-01,P
13525,2008-07-17,P,2008-07-17,P
40114,2011-09-01,P,2011-09-01,P
40115,2011-09-01,P,2011-09-01,P
41745,2012-07-13,B,2026-02-04,B
49370,2018-07-18,B,2026-01-28,B
49420,2018-06-20,B,2025-02-01,B
49431,2013-02-21,B,2026-02-04,B
49477,2012-09-25,B,2026-02-04,B
49847,2013-02-21,B,2026-02-04,B
49854,2013-02-21,B,2026-03-25,B
49895,2013-02-21,B,2026-02-04,B
49975,2013-04-08,B,2026-02-04,B
49976,2017-05-08,B,2025-02-01,B
49986,2015-08-14,P,2026-05-06,P
57794,2011-08-12,VUS,2011-08-12,VUS
57832,2011-08-12,P,2011-08-12,P
58029,2011-08-12,P,2011-08-12,P
58227,2017-09-06,LP,2017-09-06,LP
58246,2017-09-06,LP,2017-09-06,LP
58594,2011-08-12,P,2011-08-12,P
58595,2011-08-12,P,2011-08-12,P
58597,2011-08-12,P,2011-08-12,P
58600,2011-08-12,P,2011-08-12,P
59455,2011-08-12,P,2011-08-12,P
65144,2018-06-18,LB,2018-06-18,LB
65179,2018-09-25,LB,2018-09-25,LB
65253,2018-06-19,B,2025-02-16,B
76425,2017-10-17,LB,2017-10-17,LB
92792,2015-12-14,B,2026-01-23,B
92794,2012-08-22,LP,2012-08-22,LP
92795,2016-09-07,B,2026-02-04,B
92796,2016-06-23,B,2026-02-04,B
92797,2012-12-18,P,2026-03-12,P
92798,2016-03-16,B,2026-02-04,B
96365,2013-01-18,P,2025-05-27,P
96366,2016-03-25,B,2026-02-04,B
96368,2017-04-27,VUS,2025-11-17,VUS
96369,2016-04-26,B,2026-02-04,B
96370,2012-07-17,B,2026-02-04,B
96371,2013-07-15,B,2026-03-01,B
96372,2015-10-27,B,2026-02-04,B
96373,2016-02-04,B,2026-02-04,B
96374,2015-02-24,B,2026-02-04,B
96375,2016-02-04,B,2026-03-01,B
96376,2015-10-27,B,2026-02-04,B
96377,2016-02-04,B,2026-02-04,B
96378,2013-04-23,B,2026-02-04,B
96381,2013-03-26,B,2026-02-04,B
96383,2013-04-15,B,2026-01-28,B
96384,2016-02-04,B,2026-02-04,B
96385,2016-02-04,B,2026-02-04,B
96386,2015-10-27,B,2026-02-04,B
96387,2014-10-08,P,2026-01-21,P
96388,2016-02-04,B,2026-02-04,B
96389,2012-09-13,P,2025-01-07,P
96390,2015-10-05,P,2025-12-03,P
96391,2015-10-22,B,2026-02-04,B
96392,2013-01-21,P,2013-01-21,P
96393,2013-08-14,VUS,2025-06-22,VUS
96397,2012-10-10,P,2025-10-15,P
96398,2014-04-03,P,2025-12-01,P
96399,2016-03-21,B,2026-02-04,B
96404,2014-08-29,P,2025-01-09,P
96405,2016-02-04,B,2026-02-04,B
96407,2015-10-09,B,2026-02-04,B
96408,2012-11-15,VUS,2012-11-15,VUS
96410,2015-10-27,B,2026-02-04,B
96411,2013-04-15,B,2026-02-02,B
96413,2013-03-26,VUS,2023-11-22,VUS
96414,2013-04-23,B,2026-02-04,B
96415,2015-09-29,B,2026-02-04,B
96417,2013-08-19,VUS,2024-04-25,VUS
96418,2013-07-16,LP,2013-07-16,LP
96420,2015-08-20,B,2026-02-04,B
96421,2015-10-27,B,2026-02-04,B
96422,2015-10-22,B,2026-02-04,B
96423,2015-10-22,B,2026-02-04,B
96424,2015-01-23,VUS,2020-08-14,VUS
96426,2013-09-06,B,2026-01-31,B
96427,2015-03-11,B,2026-02-02,B
96428,2013-03-26,VUS,2013-03-26,VUS
96429,2015-10-27,B,2026-02-04,B
96430,2016-02-04,B,2026-02-04,B
96433,2012-11-20,LP,2025-12-22,LP
96436,2013-07-15,B,2026-04-01,B
96437,2013-03-26,VUS,2013-03-26,VUS
96438,2015-10-27,B,2026-02-04,B
96439,2012-08-30,P,2026-01-11,P
96441,2015-10-27,B,2026-02-04,B
96442,2014-05-14,P,2025-10-22,P
96443,2012-08-09,B,2026-02-04,B
96444,2016-06-09,P,2026-01-22,P
96445,2013-09-06,P,2025-12-08,P
110689,2017-10-16,LB,2017-10-16,LB
144298,2010-02-28,P,2010-02-28,P
144779,2011-08-05,VUS,2011-08-05,VUS
145313,2010-07-30,P,2010-07-30,P
145584,2010-12-22,P,2010-12-22,P
145614,2011-01-05,P,2011-01-05,P
145649,2011-01-05,P,2011-01-05,P
146395,2011-08-05,VUS,2011-08-05,VUS
147358,2010-12-22,P,2010-12-22,P
147421,2010-12-22,P,2010-12-22,P
147509,2010-12-22,P,2010-12-22,P
147999,2010-12-22,P,2010-12-22,P
148194,2011-03-21,P,2011-03-21,P
148251,2011-10-10,LB,2011-10-10,LB
149077,2012-01-31,P,2012-01-31,P
149301,2012-08-20,P,2012-08-20,P
150251,2012-05-14,P,2012-05-14,P
150284,2012-09-21,P,2012-09-21,P
150380,2012-05-07,P,2012-05-07,P
151189,2012-11-14,VUS,2012-11-14,VUS
151642,2011-04-30,VUS,2011-04-30,VUS
151765,2013-04-02,P,2013-04-02,P
152454,2011-04-30,P,2011-04-30,P
152923,2011-04-30,P,2011-04-30,P
153723,2013-08-19,VUS,2013-08-19,VUS
154258,2014-03-18,P,2014-03-18,P
155391,2013-06-11,P,2013-06-11,P
155567,2014-07-18,P,2014-07-18,P
155643,2014-07-18,P,2014-07-18,P
161826,2018-07-27,VUS,2023-05-08,VUS
162375,2019-03-30,P,2026-02-04,P
167474,2014-01-17,B,2026-03-01,B
167476,2014-01-14,B,2026-01-31,B
167480,2014-01-14,B,2026-02-04,B
167481,2014-04-09,VUS,2014-04-09,VUS
167482,2014-01-14,B,2026-02-01,B
167483,2013-11-25,B,2026-02-04,B
167485,2014-01-16,P,2022-04-14,P
