VariationID,first_date,first_bucket,latest_date,latest_bucket,years_to_reclassification,transition
4110,2002-03-01,P,2024-04-22,VUS,22.143737166324435,P_to_VUS
8197,1996-01-01,P,2020-02-01,LP,24.084873374401095,P_to_LP
8198,1996-01-01,P,2025-09-10,LP,29.691991786447637,P_to_LP
8204,1999-07-01,P,2025-12-11,LP,26.4476386036961,P_to_LP
8206,1999-07-01,P,2026-04-14,LP,26.78713210130048,P_to_LP
8209,1999-09-01,P,2024-05-10,LP,24.689938398357288,P_to_LP
50002,2013-04-08,B,2026-03-01,LB,12.895277207392198,B_to_LB
64983,2018-08-27,LB,2026-02-02,B,7.436002737850787,LB_to_B
96367,2014-08-13,LB,2026-02-01,B,11.471594798083505,LB_to_B
96379,2012-11-01,P,2025-03-18,LP,12.375085557837098,P_to_LP
96380,2013-03-26,P,2025-08-01,LP,12.350444900752908,P_to_LP
96400,2012-09-12,P,2025-11-13,LP,13.169062286105408,P_to_LP
96401,2012-10-18,LB,2026-01-26,B,13.273100616016427,LB_to_B
96406,2012-11-01,P,2017-04-14,LP,4.4490075290896645,P_to_LP
96432,2015-08-20,LP,2026-05-19,P,10.746064339493497,LP_to_P
96435,2012-09-12,P,2025-08-29,LP,12.960985626283367,P_to_LP
188754,2014-04-08,LP,2025-07-08,P,11.249828884325805,LP_to_P
188813,2014-06-06,LP,2026-01-12,P,11.603011635865846,LP_to_P
188876,2014-07-11,LP,2025-11-18,P,11.356605065023956,LP_to_P
188896,2014-01-01,LP,2026-05-12,P,12.358658453114305,LP_to_P
189026,2014-10-21,LP,2025-11-17,P,11.07460643394935,LP_to_P
189084,2014-12-10,LP,2025-07-20,P,10.609171800136892,LP_to_P
189090,2014-12-13,LP,2026-02-13,P,11.170431211498974,LP_to_P
189100,2014-12-22,LP,2025-11-04,P,10.869267624914443,LP_to_P
189171,2015-02-03,LP,2026-01-08,P,10.929500342231348,LP_to_P
192320,2018-09-16,LB,2026-03-04,P,7.4633812457221085,LB_to_P
193079,2014-07-15,LB,2026-01-26,B,11.534565366187543,LB_to_B
196636,2014-06-11,P,2025-12-15,LP,11.512662559890487,P_to_LP
196804,2017-04-17,LB,2026-01-28,B,8.78302532511978,LB_to_B
196805,2015-11-02,LB,2026-02-02,B,10.25325119780972,LB_to_B
196807,2015-07-21,P,2025-12-29,LP,10.442162902121835,P_to_LP
197534,2014-06-11,P,2025-06-10,LP,10.99794661190965,P_to_LP
197601,2014-07-25,P,2025-12-09,LP,11.375770020533881,P_to_LP
198616,2014-12-02,B,2026-02-04,LB,11.175906913073238,B_to_LB
216135,2015-02-09,P,2024-02-10,LP,9.00205338809035,P_to_LP
225056,2013-08-07,P,2024-05-08,LP,10.751540041067761,P_to_LP
235729,2015-07-08,B,2018-04-11,LB,2.759753593429158,B_to_LB
241840,2017-05-11,LB,2026-02-02,B,8.731006160164272,LB_to_B
241841,2016-04-26,LB,2026-02-02,B,9.77138945927447,LB_to_B
255789,2018-01-12,LB,2025-12-21,B,7.939767282683094,LB_to_B
255791,2017-04-28,LB,2026-01-12,B,8.709103353867214,LB_to_B
256886,2019-10-11,B,2025-05-02,LB,5.557837097878165,B_to_LB
256891,2018-05-31,B,2025-05-02,LB,6.921286789869952,B_to_LB
