VariationID,first_date,first_bucket,latest_date,latest_bucket,years_to_reclassification,transition
23,2010-09-10,P,2017-05-25,LP,6.704996577686516,P_to_LP
1390,2006-02-01,P,2017-02-24,LP,11.063655030800822,P_to_LP
2012,2013-05-10,P,2025-06-24,LP,12.123203285420944,P_to_LP
5311,2000-09-01,P,2025-06-20,LP,24.799452429842574,P_to_LP
5316,2000-09-01,P,2024-09-25,LP,24.06570841889117,P_to_LP
11513,2001-06-01,P,2021-01-14,LP,19.62217659137577,P_to_LP
31187,2012-02-24,P,2025-04-12,LP,13.130732375085557,P_to_LP
31189,2012-02-24,P,2024-10-04,LP,12.61054072553046,P_to_LP
39821,2012-10-01,P,2025-09-18,LP,12.9637234770705,P_to_LP
56297,2016-12-12,LP,2025-01-08,P,8.073921971252567,LP_to_P
56300,2018-12-18,LP,2025-01-06,P,6.053388090349076,LP_to_P
56384,2014-01-02,LP,2025-07-28,P,11.567419575633128,LP_to_P
56624,2017-11-30,LP,2024-04-26,P,6.403832991101985,LP_to_P
56625,2018-02-13,LP,2025-02-04,P,6.976043805612594,LP_to_P
64620,2013-03-01,P,2023-09-21,LP,10.557152635181383,P_to_LP
95756,2015-03-02,B,2026-03-01,LB,10.99794661190965,B_to_LB
97025,2013-11-07,P,2023-11-02,VUS,9.984941820670773,P_to_VUS
101499,2012-08-15,P,2025-10-01,VUS,13.127994524298426,P_to_VUS
143152,2012-11-20,LP,2026-02-01,B,13.19917864476386,LP_to_B
166803,2016-02-05,LB,2026-01-28,B,9.979466119096509,LB_to_B
183011,2014-01-01,P,2022-02-03,VUS,8.09034907597536,P_to_VUS
183328,2014-12-01,LP,2024-03-17,P,9.292265571526352,LP_to_P
188334,2017-03-13,VUS,2025-08-25,P,8.451745379876797,VUS_to_P
189370,2015-03-01,P,2024-03-17,LP,9.045859000684462,P_to_LP
191084,2020-11-12,LP,2023-11-27,P,3.0390143737166326,LP_to_P
191366,2015-01-01,P,2024-11-18,LP,9.880903490759753,P_to_LP
194102,2015-04-07,P,2023-11-02,LP,8.572210814510608,P_to_LP
194818,2017-09-20,B,2026-02-01,LB,8.366872005475702,B_to_LB
198758,2015-06-01,B,2026-02-01,LB,10.67214236824093,B_to_LB
202167,2019-05-28,LP,2024-05-31,P,5.0102669404517455,LP_to_P
208589,2015-03-10,LP,2025-07-14,P,10.346338124572211,LP_to_P
211503,2014-05-14,P,2025-10-20,LP,11.436002737850787,P_to_LP
211784,2015-08-05,LB,2020-03-14,B,4.607802874743326,LB_to_B
217524,2015-02-23,P,2023-01-06,LP,7.868583162217659,P_to_LP
217530,2015-02-23,P,2016-02-10,LP,0.9637234770704997,P_to_LP
217539,2015-02-23,P,2025-08-15,LP,10.47501711156742,P_to_LP
217594,2015-02-23,P,2023-06-20,LP,8.320328542094456,P_to_LP
217616,2015-02-23,P,2026-01-17,LP,10.899383983572895,P_to_LP
217672,2015-02-23,P,2025-09-18,LP,10.568104038329912,P_to_LP
217677,2015-02-23,P,2025-04-21,LP,10.157426420260096,P_to_LP
217678,2015-02-23,P,2022-02-24,LP,7.003422313483915,P_to_LP
217686,2015-02-23,P,2024-09-02,LP,9.52498288843258,P_to_LP
217706,2015-02-23,LP,2026-01-05,B,10.86652977412731,LP_to_B
220047,2017-01-03,VUS,2026-01-18,LB,9.040383299110198,VUS_to_LB
220132,2019-11-26,B,2024-05-22,LB,4.487337440109514,B_to_LB
254675,2016-09-23,P,2024-04-25,LP,7.586584531143052,P_to_LP
257316,2015-07-02,B,2026-02-01,LB,10.587268993839835,B_to_LB
257319,2021-05-17,LB,2026-02-01,B,4.7118412046543465,LB_to_B
259095,2020-05-09,LB,2026-01-19,B,5.6974674880219025,LB_to_B
259096,2017-06-01,LB,2026-01-24,B,8.648870636550308,LB_to_B
259100,2017-12-11,LB,2026-02-01,B,8.14236824093087,LB_to_B
260841,2017-02-21,LB,2026-02-04,B,8.952772073921972,LB_to_B
260845,2022-04-28,LB,2025-09-14,B,3.381245722108145,LB_to_B
260847,2017-06-01,LB,2026-01-31,B,8.668035592060233,LB_to_B
260853,2015-06-23,B,2026-02-01,LB,10.611909650924025,B_to_LB
260861,2016-06-14,LB,2026-02-01,B,9.634496919917865,LB_to_B
261059,2017-04-28,LB,2026-01-31,B,8.761122518822724,LB_to_B
265309,2015-03-14,P,2024-02-14,LP,8.922655715263518,P_to_LP
286673,2016-03-22,P,2024-03-27,LP,8.013689253935661,P_to_LP
291283,2016-09-23,VUS,2022-09-14,LB,5.973990417522245,VUS_to_LB
305065,2018-01-13,LB,2026-01-28,B,8.041067761806982,LB_to_B
333383,2018-01-13,LB,2025-12-23,B,7.942505133470226,LB_to_B
333392,2017-04-28,LB,2026-01-26,B,8.747433264887064,LB_to_B
333393,2018-01-12,LB,2025-12-23,B,7.945242984257358,LB_to_B
333564,2018-01-13,LB,2026-02-01,B,8.05201916495551,LB_to_B
337697,2018-01-12,B,2021-03-05,LB,3.143052703627652,B_to_LB
355497,2018-01-13,VUS,2024-05-15,LB,6.335386721423682,VUS_to_LB
355502,2018-01-13,LB,2026-01-30,B,8.046543463381246,LB_to_B
371710,2016-02-22,LP,2023-11-27,P,7.761806981519507,LP_to_P
372673,2017-06-09,LB,2026-02-01,B,8.648870636550308,LB_to_B
373022,2016-10-10,LP,2024-08-14,P,7.84394250513347,LP_to_P
379446,2019-01-04,B,2026-03-01,LB,7.15400410677618,B_to_LB
380300,2018-05-21,LB,2026-01-16,B,7.657768651608487,LB_to_B
380477,2016-12-13,LB,2026-02-01,B,9.136208076659821,LB_to_B
380774,2020-03-27,LB,2026-02-01,B,5.8507871321013,LB_to_B
387419,2017-02-07,LB,2026-02-02,B,8.985626283367557,LB_to_B
388317,2016-08-08,LB,2026-01-20,B,9.451060917180014,LB_to_B
388503,2016-08-17,LB,2025-12-15,B,9.32785763175907,LB_to_B
389323,2018-05-23,LB,2025-12-17,B,7.57015742642026,LB_to_B
392732,2020-03-23,LB,2025-12-14,B,5.727583846680356,LB_to_B
392954,2017-01-19,LP,2025-04-17,P,8.240930869267626,LP_to_P
412878,2018-06-20,LB,2025-12-22,B,7.507186858316222,LB_to_B
414069,2018-01-13,LB,2026-01-28,B,8.041067761806982,LB_to_B
421073,2016-05-10,LB,2026-01-06,B,9.659137577002053,LB_to_B
431796,2017-06-01,VUS,2024-03-17,LP,6.792607802874743,VUS_to_LP
440417,2019-07-24,LB,2025-10-06,B,6.203969883641341,LB_to_B
446142,2017-11-06,P,2025-09-10,LP,7.84394250513347,P_to_LP
446145,2018-02-09,P,2026-01-05,B,7.904175222450377,P_to_B
446697,2017-06-01,LP,2024-12-17,P,7.545516769336071,LP_to_P
449938,2017-04-17,LP,2023-01-09,P,5.730321697467488,LP_to_P
463450,2023-03-01,LB,2026-02-01,B,2.924024640657084,LB_to_B
463452,2017-01-21,LB,2025-05-05,B,8.284736481861739,LB_to_B
466327,2017-01-19,LB,2026-01-20,B,9.00205338809035,LB_to_B
471483,2018-08-06,LB,2025-12-09,B,7.342915811088296,LB_to_B
474961,2021-02-16,LB,2026-01-29,B,4.950034223134839,LB_to_B
474964,2021-05-04,LB,2026-01-27,B,4.733744010951403,LB_to_B
476042,2017-03-30,B,2026-03-01,LB,8.919917864476385,B_to_LB
476162,2019-08-30,B,2026-02-01,LB,6.425735797399041,B_to_LB
476163,2020-12-05,LB,2026-01-28,B,5.147159479808351,LB_to_B
476166,2021-04-22,LB,2026-01-28,B,4.769336071184121,LB_to_B
478890,2024-02-19,LP,2025-03-20,P,1.08145106091718,LP_to_P
488654,2017-09-01,VUS,2018-02-06,P,0.432580424366872,VUS_to_P
497899,2016-11-01,VUS,2019-09-16,LB,2.8720054757015743,VUS_to_LB
501272,2017-04-04,LB,2026-02-01,B,8.829568788501026,LB_to_B
504364,2023-12-29,LP,2026-01-09,P,2.0314852840520192,LP_to_P
507370,2017-02-16,LB,2025-12-22,B,8.845995893223819,LB_to_B
507651,2024-01-30,LB,2025-12-25,B,1.9028062970568105,LB_to_B
507670,2017-02-28,LB,2025-12-21,B,8.810403832991103,LB_to_B
510234,2017-06-08,LB,2024-01-29,B,6.6420260095824775,LB_to_B
511906,2017-09-07,LB,2026-01-28,B,8.39151266255989,LB_to_B
512619,2019-08-02,B,2026-03-01,LB,6.579055441478439,B_to_LB
515027,2018-01-18,LB,2026-01-22,B,8.010951403148528,LB_to_B
515702,2020-02-12,LB,2026-01-26,B,5.95482546201232,LB_to_B
515867,2018-03-09,LB,2025-11-25,B,7.715263518138261,LB_to_B
515870,2019-09-19,LB,2026-01-17,B,6.329911019849418,LB_to_B
516202,2020-01-25,LB,2026-01-31,B,6.017796030116359,LB_to_B
516234,2017-02-06,B,2026-02-01,LB,8.985626283367557,B_to_LB
516971,2017-03-28,B,2026-03-01,LB,8.92539356605065,B_to_LB
517729,2017-02-09,LB,2026-01-21,B,8.947296372347708,LB_to_B
521251,2016-08-22,P,2023-07-18,LP,6.9021218343600275,P_to_LP
523401,2016-01-01,P,2023-04-20,LP,7.299110198494182,P_to_LP
523524,2017-01-01,LP,2025-08-04,P,8.588637919233403,LP_to_P
532268,2016-08-30,LB,2026-01-12,B,9.36892539356605,LB_to_B
541697,2024-03-01,LB,2026-01-21,B,1.891854893908282,LB_to_B
541797,2022-06-01,LB,2026-01-20,B,3.6386036960985626,LB_to_B
542658,2021-03-30,LB,2025-10-18,VUS,4.553045859000685,LB_to_VUS
562324,2018-09-16,LP,2025-05-14,P,6.658453114305271,LP_to_P
565503,2022-05-14,LP,2026-01-19,P,3.685147159479808,LP_to_P
568060,2022-09-02,LP,2026-01-06,P,3.345653661875428,LP_to_P
585164,2018-04-01,LP,2023-12-26,P,5.735797399041752,LP_to_P
588792,2017-02-10,LB,2025-10-19,B,8.687200547570157,LB_to_B
591162,2018-09-16,VUS,2025-02-25,LP,6.444900752908967,VUS_to_LP
591591,2018-09-16,VUS,2023-11-13,P,5.158110882956879,VUS_to_P
593430,2017-07-26,P,2021-12-01,LP,4.350444900752909,P_to_LP
594430,2017-10-05,P,2023-09-10,LP,5.930184804928132,P_to_LP
595088,2018-05-08,P,2023-09-20,LP,5.368925393566051,P_to_LP
595258,2018-06-05,LB,2026-02-02,B,7.663244353182751,LB_to_B
596974,2018-04-26,VUS,2021-12-15,LB,3.6386036960985626,VUS_to_LB
617914,2017-03-30,LP,2018-10-15,P,1.5441478439425051,LP_to_P
623651,2018-10-05,LP,2023-07-21,P,4.791238877481177,LP_to_P
624266,2018-07-12,VUS,2025-11-11,P,7.3347022587268995,VUS_to_P
631939,2024-05-31,LP,2025-02-06,P,0.6872005475701575,LP_to_P
631974,2019-01-14,LP,2025-12-15,P,6.91854893908282,LP_to_P
634560,2019-01-01,P,2024-06-19,LP,5.464750171115674,P_to_LP
635014,2018-08-24,LP,2024-05-22,VUS,5.7440109514031485,LP_to_VUS
636041,2011-01-01,P,2025-02-05,LP,14.097193702943189,P_to_LP
644347,2024-01-22,P,2024-03-06,LP,0.12046543463381246,P_to_LP
654117,2024-05-28,LP,2025-04-14,P,0.8788501026694046,LP_to_P
661866,2022-08-01,P,2024-08-02,LP,2.004106776180698,P_to_LP
666987,2016-12-23,LP,2024-03-29,P,7.263518138261465,LP_to_P
668430,2018-05-21,LB,2026-01-23,B,7.676933607118412,LB_to_B
681050,2020-11-10,LB,2026-01-26,B,5.210130047912389,LB_to_B
681380,2021-02-23,LB,2026-01-27,B,4.9253935660506505,LB_to_B
682191,2018-04-18,LB,2025-10-06,B,7.468856947296373,LB_to_B
682192,2018-04-18,LB,2025-10-24,B,7.51813826146475,LB_to_B
