VariationID,first_date,first_bucket,latest_date,latest_bucket
2167,2004-06-01,P,2004-06-01,P
2168,2004-06-01,P,2004-06-01,P
2169,2004-06-01,P,2022-09-16,P
2558,2003-03-14,P,2003-03-14,P
2560,2004-07-01,P,2004-07-01,P
2561,2004-07-01,P,2021-10-04,P
3749,2005-07-15,P,2025-12-16,P
13238,2003-03-01,P,2024-12-17,P
13239,2003-03-01,P,2003-03-01,P
13240,2003-03-01,P,2024-01-22,P
13241,2003-03-01,P,2003-03-01,P
13242,2003-03-01,P,2025-06-28,P
13243,2003-03-01,P,2025-04-23,P
57868,2011-08-12,P,2011-08-12,P
57983,2011-08-12,P,2011-08-12,P
57984,2011-08-12,P,2011-08-12,P
58917,2011-08-12,P,2011-08-12,P
59110,2011-05-06,LP,2011-05-06,LP
59111,2011-08-12,P,2011-08-12,P
59754,2011-08-12,P,2011-08-12,P
59755,2011-08-12,P,2011-08-12,P
59772,2011-08-12,P,2011-08-12,P
60235,2011-08-12,VUS,2011-08-12,VUS
94076,2012-12-06,P,2012-12-06,P
94077,2014-02-10,B,2026-02-01,B
94078,2016-08-05,B,2026-02-03,B
94079,2015-11-20,B,2026-02-03,B
94080,2015-06-01,B,2026-02-03,B
94081,2015-11-20,B,2026-02-03,B
95472,2014-08-14,B,2014-08-14,B
95474,2014-07-15,B,2026-02-03,B
96088,2012-07-25,B,2021-07-14,B
96089,2013-06-12,VUS,2013-06-12,VUS
96090,2012-12-21,P,2025-11-28,P
96092,2012-10-04,B,2026-02-03,B
96093,2012-12-21,B,2026-01-16,B
96133,2012-07-25,B,2026-02-01,B
96134,2013-05-29,B,2026-02-02,B
96136,2012-11-28,B,2026-02-01,B
144356,2009-12-30,P,2009-12-30,P
144406,2010-03-30,P,2010-03-30,P
145430,2010-09-30,P,2010-09-30,P
145432,2010-09-30,VUS,2010-09-30,VUS
145533,2010-08-27,VUS,2010-08-27,VUS
145614,2011-01-05,P,2011-01-05,P
146034,2010-11-30,VUS,2010-11-30,VUS
148012,2010-12-22,P,2010-12-22,P
148370,2018-02-16,P,2018-02-16,P
148944,2012-01-13,P,2012-01-13,P
148947,2011-12-16,P,2011-12-16,P
149385,2012-09-21,P,2012-09-21,P
149685,2012-07-09,P,2012-07-09,P
150107,2012-09-21,P,2012-09-21,P
150138,2012-05-14,P,2012-05-14,P
150609,2012-06-18,P,2012-06-18,P
150641,2011-08-02,P,2011-08-02,P
150937,2011-07-05,P,2011-07-05,P
152257,2013-01-14,P,2013-01-14,P
152304,2013-03-04,VUS,2013-03-04,VUS
152877,2011-04-30,P,2011-04-30,P
153069,2010-10-01,P,2010-10-01,P
153088,2010-10-01,P,2010-10-01,P
153723,2013-08-19,VUS,2013-08-19,VUS
153734,2013-08-26,P,2013-08-26,P
153893,2013-10-22,LP,2013-10-22,LP
154178,2014-03-10,P,2014-03-10,P
154213,2014-03-18,P,2014-03-18,P
154258,2014-03-18,P,2014-03-18,P
154720,2012-12-10,LP,2012-12-10,LP
155160,2013-03-04,P,2013-03-04,P
155627,2013-12-03,P,2013-12-03,P
166677,2014-04-08,B,2026-02-01,B
166679,2014-04-29,VUS,2014-04-29,VUS
167669,2013-11-26,B,2023-07-17,B
167670,2013-11-26,B,2026-01-05,B
167671,2013-12-04,P,2013-12-04,P
193858,2014-11-05,VUS,2026-01-06,VUS
194734,2015-05-21,P,2015-05-21,P
221481,2015-07-20,VUS,2015-07-20,VUS
225118,2018-09-27,LP,2025-10-29,LP
235812,2016-04-21,VUS,2024-10-04,VUS
253129,2018-02-22,P,2024-01-12,P
253130,2018-02-22,P,2018-02-22,P
253131,2018-02-22,P,2023-02-06,P
253146,2025-02-26,P,2025-02-26,P
253147,2025-02-26,P,2025-02-26,P
253377,2016-01-20,P,2016-01-20,P
253655,2016-01-20,P,2016-01-20,P
254002,2016-01-20,VUS,2016-01-20,VUS
258791,2018-01-13,B,2026-01-23,B
258792,2018-01-12,B,2026-03-01,B
258793,2018-01-13,B,2026-03-01,B
258794,2018-01-12,B,2026-01-23,B
258795,2024-01-12,LB,2024-01-12,LB
258796,2018-01-13,B,2026-03-01,B
260153,2018-01-12,B,2026-02-01,B
261680,2018-07-05,B,2021-07-14,B
261681,2018-07-05,B,2018-07-05,B
261682,2018-07-05,B,2018-07-05,B
261683,2018-07-05,B,2018-07-05,B
261684,2018-07-05,B,2018-07-05,B
261685,2018-07-05,B,2021-07-14,B
280116,2017-03-16,P,2025-12-25,P
284641,2015-11-23,VUS,2025-10-21,VUS
285874,2016-02-10,VUS,2016-02-10,VUS
302367,2018-01-13,VUS,2018-01-13,VUS
302369,2018-01-12,VUS,2018-01-12,VUS
302371,2018-01-13,VUS,2018-01-13,VUS
302373,2018-01-13,VUS,2018-01-13,VUS
302374,2018-01-13,VUS,2018-01-13,VUS
302375,2018-01-12,VUS,2018-01-12,VUS
302376,2018-01-13,VUS,2018-01-13,VUS
302377,2018-01-13,LB,2018-01-13,LB
302378,2018-01-12,VUS,2018-01-12,VUS
302385,2018-01-13,VUS,2018-01-13,VUS
302386,2018-01-13,VUS,2018-01-13,VUS
302392,2018-01-13,VUS,2018-01-13,VUS
302393,2018-01-12,VUS,2018-01-12,VUS
302394,2018-01-13,VUS,2018-01-13,VUS
302395,2018-01-12,VUS,2018-01-12,VUS
302397,2018-01-13,VUS,2018-01-13,VUS
302398,2018-01-12,B,2018-01-12,B
302399,2018-01-13,VUS,2018-01-13,VUS
302400,2018-01-12,VUS,2018-01-12,VUS
302401,2018-01-13,VUS,2018-01-13,VUS
302402,2023-02-01,LB,2023-02-01,LB
302406,2018-01-12,VUS,2018-01-12,VUS
302407,2018-01-12,VUS,2018-01-12,VUS
302408,2018-01-12,VUS,2018-01-12,VUS
302409,2018-01-12,VUS,2018-01-12,VUS
302411,2017-04-27,LB,2017-04-27,LB
302413,2018-01-13,LB,2018-01-13,LB
302414,2018-01-13,VUS,2018-01-13,VUS
302415,2018-01-13,VUS,2018-01-13,VUS
302416,2018-01-13,VUS,2018-01-13,VUS
302417,2018-01-12,VUS,2018-01-12,VUS
302418,2018-01-13,VUS,2018-01-13,VUS
302419,2018-01-12,VUS,2018-01-12,VUS
